Code,Name,Name indo
U+1F925,lying face,muka berbohong
U+1F60C,relieved face,wajah lega
U+1F614,pensive face,Wajah termenung
U+1F62A,sleepy face,muka mengantuk
U+1F924,drooling face,muka air liur
U+1F634,sleeping face,wajah tidur
U+1F637,face with medical mask,wajah dengan masker medis
U+1F912,face with thermometer,wajah dengan termometer
U+1F915,face with head bandage,wajah dengan perban kepala
U+1F922,nauseated face,Wajah mual
U+1F92E,face vomiting,muntah wajah
U+1F927,sneezing face,Wajah bersin
U+1F975,hot face,wajah panas
U+1F976,cold face,wajah dingin
U+1F974,woozy face,wajah pusing
U+1F635,dizzy face,wajah pusing
U+1F92F,exploding head,kepala meledak
U+1F920,cowboy hat face,koboi topi wajah
U+1F973,partying face,wajah berpesta
U+1F978,disguised face,Muka yang menyamar
U+1F60E,smiling face with sunglasses,Wajah tersenyum dengan kacamata hitam
U+1F913,nerd face,nerd wajah
U+1F9D0,face with monocle,Wajah dengan monocle
U+1F615,confused face,wajah bingung
U+1F61F,worried face,wajah khawatir
U+1F641,slightly frowning face,Wajah cemberut sedikit
U+2639,frowning face,Wajah cemberut
U+1F62E,face with open mouth,wajah dengan mulut terbuka
U+1F62F,hushed face,wajah diam-diam
U+1F632,astonished face,tercengang wajah
U+1F633,flushed face,wajah memerah
U+1F97A,pleading face,pemohon wajah
U+1F626,frowning face with open mouth,muka cemberut dengan mulut terbuka
U+1F627,anguished face,wajah sedih
U+1F628,fearful face,Wajah ketakutan.
U+1F630,anxious face with sweat,wajah cemas dengan keringat
U+1F625,sad but relieved face,sedih tapi lega wajah
U+1F622,crying face,wajah menangis
U+1F62D,loudly crying face,keras menangis wajah
U+1F631,face screaming in fear,"""Wajah berteriak dalam ketakutan"""
U+1F616,confounded face,Wajah bingung
U+1F623,persevering face,persevering wajah
U+1F61E,disappointed face,wajah kecewa
U+1F613,downcast face with sweat,Wajah murung dengan keringat
U+1F629,weary face,muka lelah
U+1F62B,tired face,wajah lelah
U+1F971,yawning face,Wajah menguap
U+1F624,face with steam from nose,Wajah dengan uap dari hidung
U+1F621,pouting face,Wajah cemberut
U+1F620,angry face,Wajah marah
U+1F92C,face with symbols on mouth,wajah dengan simbol di mulut
U+1F608,smiling face with horns,Wajah tersenyum dengan tanduk
U+1F47F,angry face with horns,muka marah dengan tanduk
U+1F480,skull,Tengkorak
U+2620,pirate flag,bendera bajak laut
U+1F4A9,pile of poo,tumpukan kotoran
U+1F921,clown face,Wajah badut
U+1F479,ogre,ogre
U+1F47A,goblin,goblin
U+1F47B,ghost,hantu
U+1F47D,alien,alien
U+1F47E,alien monster,monster alien
U+1F916,robot,Robot
U+1F63A,grinning cat,Kucing menyeringai
U+1F638,grinning cat with smiling eyes,Kucing menyeringai dengan mata tersenyum
U+1F639,cat with tears of joy,kucing dengan air mata sukacita
U+1F63B,smiling cat with heart eyes,Kucing tersenyum dengan mata hati
U+1F63C,cat with wry smile,kucing dengan senyum kecut
U+1F63D,kissing cat,"""Ciuman Kucing""!"
U+1F640,weary cat,Kucing lelah
U+1F63F,crying cat,Kucing menangis
U+1F63E,pouting cat,Kucing cemberut
U+1F648,see no evil monkey,lihat ada monyet jahat
U+1F649,hear no evil monkey,mendengar ada monyet jahat
U+1F64A,speak no evil monkey,Tidak berbicara monyet jahat
U+1F48B,kiss  woman  woman,kiss woman woman
U+1F48C,love letter,surat cinta
U+1F498,heart with arrow,hati dengan panah
U+1F49D,heart with ribbon,hati dengan pita
U+1F496,sparkling heart,lubuk hati yang berkilau
U+1F497,growing heart,growing heart
U+1F493,beating heart,detak jantung
U+1F49E,revolving hearts,revolving hati
U+1F495,two hearts,dua hati
U+1F49F,heart decoration,dekorasi hati
U+2763,heart exclamation,seruan hati
U+1F494,broken heart,patah hati
U+2764,couple with heart  woman  woman,pasangan dengan wanita jantung
U+1F9E1,orange heart,hati oranye
U+1F49B,yellow heart,Hati kuning
U+1F49A,green heart,berhati hijau
U+1F499,blue heart,hati biru
U+1F49C,purple heart,berhati ungu
U+1F90E,brown heart,hati coklat
U+1F5A4,black heart,hati yang hitam
U+1F90D,white heart,hati putih
U+1F4AF,hundred points,seratus poin
U+1F4A2,anger symbol,simbol kemarahan
U+1F4A5,collision,tabrakan
U+1F4AB,dizzy,pusing
U+1F4A6,sweat droplets,tetesan keringat
U+1F4A8,dashing away,gagah pergi
U+1F573,hole,lubang
U+1F4A3,bomb,bom
U+1F4AC,speech balloon,balon pidato
U+1F441,eye,mata
U+FE0F,pirate flag,bendera bajak laut
U+200D,pirate flag,bendera bajak laut
U+1F5E8,left speech bubble,gelembung pidato kiri
U+1F5EF,right anger bubble,gelembung kemarahan yang tepat
U+1F4AD,thought balloon,pikir balon
U+1F4A4,zzz,zzz
U+1F44B,waving hand,melambaikan tangan
U+1F91A,raised back of hand,mengangkat kembali tangan
U+1F590,hand with fingers splayed,tangan dengan jari splayed
U+270B,raised hand,mengangkat tangan
U+1F596,vulcan salute,Salut vulcan
U+1F44C,OK hand,OK tangan
U+1F90C,pinched fingers,jari yang terjepit
U+1F90F,pinching hand,cubitan tangan
U+270C,victory hand,tangan kemenangan
U+1F91E,crossed fingers,silang jari
U+1F91F,love you gesture,cinta Anda gerakan
U+1F918,sign of the horns,tanda tanduk
U+1F919,call me hand,panggil aku tangan
U+1F448,backhand index pointing left,indeks backhand menunjuk kiri
U+1F449,backhand index pointing right,indeks backhand menunjuk kanan
U+1F446,backhand index pointing up,indeks backhand menunjuk ke atas
U+1F595,middle finger,jari tengah
U+1F447,backhand index pointing down,indeks backhand menunjuk ke bawah
U+261D,index pointing up,indeks menunjuk ke atas
U+1F44D,thumbs up,jempol keatas
U+1F44E,thumbs down,jempol bawah
U+270A,raised fist,Angkat tinju
U+1F44A,oncoming fist,"""Pada tinju yang akan datang"""
U+1F91B,left facing fist,kiri menghadap tinju
U+1F91C,right facing fist,kanan menghadap tinju
U+1F44F,clapping hands,Tepuk tangan
U+1F64C,raising hands,Angkat tangan
U+1F450,open hands,tangan terbuka
U+1F932,palms up together,telapak tangan up bersama-sama
U+1F91D,people holding hands,orang berpegangan tangan
U+1F64F,folded hands,tangan terlipat
U+270D,writing hand,menulis tangan
U+1F485,nail polish,cat kuku
U+1F933,selfie,Selfie
U+1F4AA,flexed biceps,bisep fleksibel
U+1F9BE,mechanical arm,lengan mekanis
U+1F9BF,mechanical leg,kaki mekanis
U+1F9B5,leg,kaki
U+1F9B6,foot,kaki
U+1F442,ear,telinga
U+1F9BB,ear with hearing aid,telinga dengan alat bantu dengar
U+1F443,nose,hidung
U+1F9E0,brain,otak
U+1FAC0,anatomical heart,jantung anatomi
U+1FAC1,lungs,paru-paru
U+1F9B7,tooth,gigi
U+1F9B4,bone,tulang
U+1F440,eyes,mata
U+1F445,tongue,lidah
U+1F444,mouth,mulut
U+1F476,baby,bayi
U+1F9D2,child,anak
U+1F466,family  woman  girl  boy,gadis laki-laki wanita keluarga
U+1F467,family  woman  girl  girl,gadis perempuan keluarga
U+1F9D1,people holding hands,orang berpegangan tangan
U+1F471,man  blond hair,pria berambut pirang
U+1F468,family  man  girl  girl,family man girl girl
U+1F9D4,man  beard,jenggot pria
U+1F9B0,red hair,rambut merah
U+1F9B1,curly hair,Rambut keriting
U+1F9B3,white hair,rambut putih
U+1F9B2,bald,botak
U+1F469,family  woman  girl  girl,gadis perempuan keluarga
U+2640,female sign,tanda perempuan
U+2642,male sign,tanda pria
U+1F9D3,older person,orang yang lebih tua
U+1F474,old man,orang tua
U+1F475,old woman,wanita tua
U+1F64D,woman frowning,wanita mengerutkan dahi
U+1F64E,woman pouting,wanita cemberut
U+1F645,woman gesturing NO,wanita memberikan isyarat tidak ada
U+1F646,woman gesturing OK,Wanita baik-baik saja.
U+1F481,woman tipping hand,wanita tiping tangan
U+1F64B,woman raising hand,wanita mengangkat tangan
U+1F9CF,deaf woman,wanita tuli
U+1F647,woman bowing,wanita membungkuk
U+1F926,woman facepalming,wanita facepalming
U+1F937,woman shrugging,wanita mengangkat bahu
U+2695,medical symbol,simbol medis
U+1F393,graduation cap,tutup kelulusan
U+1F3EB,school,sekolah
U+2696,balance scale,Skalabalance
U+1F33E,sheaf of rice,sheaf beras
U+1F373,cooking,memasak
U+1F527,wrench,kunci pas
U+1F3ED,factory,pabrik
U+1F4BC,briefcase,tas
U+1F52C,microscope,mikroskop
U+1F4BB,laptop,laptop
U+1F3A4,microphone,mikrofon
U+1F3A8,artist palette,palet artis
U+2708,airplane,Pesawat
U+1F680,rocket,roket
U+1F692,fire engine,mesin pemadam kebakaran
U+1F46E,woman police officer,petugas polisi wanita
U+1F575,woman detective,detektif wanita
U+1F482,woman guard,wanita penjaga
U+1F977,ninja,Ninja
U+1F477,woman construction worker,pekerja konstruksi wanita
U+1F934,prince,pangeran
U+1F478,princess,Tuan Putri.
U+1F473,woman wearing turban,wanita memakai sorban
U+1F472,person with skullcap,orang dengan skulcap
U+1F9D5,woman with headscarf,wanita dengan headscarf
U+1F935,woman in tuxedo,Perempuan dalam tuksedo
U+1F470,woman with veil,wanita dengan kerudung
U+1F930,pregnant woman,wanita hamil
U+1F931,breast feeding,menyusui payudara
U+1F37C,baby bottle,botol bayi
U+1F47C,baby angel,baby angel
U+1F385,Santa Claus,Santa Claus
U+1F936,Mrs  Claus,Nyonya Claus
U+1F384,Christmas tree,Pohon Natal
U+1F9B8,woman superhero,wanita superhero
U+1F9B9,woman supervillain,wanita supervillain
U+1F9D9,woman mage,perempuan mage
U+1F9DA,woman fairy,peri wanita
U+1F9DB,woman vampire,vampir wanita
U+1F9DC,mermaid,Putri duyung
U+1F9DD,woman elf,peri wanita
U+1F9DE,woman genie,jin wanita
U+1F9DF,woman zombie,wanita zombie
U+1F486,woman getting massage,wanita yang dipijat
U+1F487,woman getting haircut,wanita mendapatkan potongan rambut
U+1F6B6,woman walking,Perempuan berjalan
U+1F9CD,woman standing,wanita berdiri
U+1F9CE,woman kneeling,wanita berlutut
U+1F9AF,white cane,tongkat putih
U+1F9BC,motorized wheelchair,Kursi roda bermotor
U+1F9BD,manual wheelchair,kursi roda manual
U+1F3C3,woman running,Perempuan berjalan
U+1F483,woman dancing,wanita menari
U+1F57A,man dancing,pria menari
U+1F574,person in suit levitating,Orang berjas melayang-layang
U+1F46F,women with bunny ears,wanita dengan telinga kelinci
U+1F9D6,woman in steamy room,Wanita di kamar uap
U+1F9D7,woman climbing,wanita mendaki
U+1F93A,person fencing,pagar person
U+1F3C7,horse racing,balap kuda
U+26F7,skier,skier
U+1F3C2,snowboarder,snowboarder
U+1F3CC,woman golfing,wanita pegolf
U+1F3C4,woman surfing,wanita berselancar
U+1F6A3,woman rowing boat,wanita pendayung perahu
U+1F3CA,woman swimming,wanita berenang
U+26F9,woman bouncing ball,wanita memantul bola
U+1F3CB,woman lifting weights,wanita angkat beban
U+1F6B4,woman biking,wanita bersepeda
U+1F6B5,woman mountain biking,wanita gunung bersepeda
U+1F938,woman cartwheeling,wanita cartwheeling
U+1F93C,women wrestling,gulat wanita
U+1F93D,woman playing water polo,wanita bermain polo air
U+1F93E,woman playing handball,Wanita bermain bola tangan
U+1F939,woman juggling,wanita juggling
U+1F9D8,woman in lotus position,wanita dalam posisi lotus
U+1F6C0,person taking bath,orang mandi
U+1F6CC,person in bed,orang di tempat tidur
U+1F46D,women holding hands,wanita berpegangan tangan
U+1F46B,woman and man holding hands,wanita dan pria berpegangan tangan
U+1F46C,men holding hands,pria berpegangan tangan
U+1F48F,kiss,ciuman
U+1F491,couple with heart,pasangan dengan hati
U+1F46A,family,keluarga
U+1F5E3,speaking head,berbicara kepala
U+1F464,bust in silhouette,bust dalam siluet
U+1F465,busts in silhouette,payudara dalam siluet
U+1FAC2,people hugging,orang memeluk
U+1F463,footprints,jejak kaki
U+1F435,monkey face,muka monyet
U+1F412,monkey,monyet
U+1F98D,gorilla,gorila
U+1F9A7,orangutan,utan
U+1F436,dog face,wajah anjing
U+1F415,service dog,anjing layanan
U+1F9AE,guide dog,Anjing pemandu
U+1F9BA,safety vest,Rompi pengaman
U+1F429,poodle,Pudel
U+1F43A,wolf,serigala
U+1F98A,fox,rubah
U+1F99D,raccoon,rakun
U+1F431,cat face,wajah kucing
U+1F408,black cat,kucing hitam
U+2B1B,black large square,black large square
U+1F981,lion,Singa
U+1F42F,tiger face,Wajah harimau
U+1F405,tiger,harimau
U+1F406,leopard,macan tutul
U+1F434,horse face,wajah kuda
U+1F40E,horse,kuda
U+1F984,unicorn,Unicorn
U+1F993,zebra,zebra
U+1F98C,deer,rusa
U+1F9AC,bison,bison
U+1F42E,cow face,Wajah sapi
U+1F402,ox,lembu
U+1F403,water buffalo,kerbau air
U+1F404,cow,sapi
U+1F437,pig face,muka babi
U+1F416,pig,babi
U+1F417,boar,babi hutan
U+1F43D,pig nose,hidung babi
U+1F40F,ram,ram
U+1F411,ewe,ewe
U+1F410,goat,kambing
U+1F42A,camel,Unta
U+1F42B,two hump camel,dua unta punuk
U+1F999,llama,llama
U+1F992,giraffe,jerapah
U+1F418,elephant,gajah
U+1F9A3,mammoth,mammoth
U+1F98F,rhinoceros,badak
U+1F99B,hippopotamus,kuda nil
U+1F42D,mouse face,wajah mouse
U+1F401,mouse,tetikus
U+1F400,rat,tikus
U+1F439,hamster,hamster
U+1F430,rabbit face,Wajah kelinci
U+1F407,rabbit,kelinci
U+1F43F,chipmunk,tupai
U+1F9AB,beaver,berang-berang
U+1F994,hedgehog,landak
U+1F987,bat,kelelawar
U+1F43B,polar bear,Beruang kutub
U+2744,snowflake,Saljuweather forecast
U+1F428,koala,koala
U+1F43C,panda,Panda
U+1F9A5,sloth,kemalasan
U+1F9A6,otter,otter
U+1F9A8,skunk,Sigung
U+1F998,kangaroo,kanguru
U+1F9A1,badger,luak
U+1F43E,paw prints,jejak kaki
U+1F983,turkey,kalkun
U+1F414,chicken,ayam
U+1F413,rooster,ayam jantan
U+1F423,hatching chick,menetas cewek
U+1F424,baby chick,bayi ayam
U+1F425,front facing baby chick,depan menghadapi bayi cewek
U+1F426,bird,burung
U+1F427,penguin,penguin
U+1F54A,dove,merpati
U+1F985,eagle,elang
U+1F986,duck,bebek
U+1F9A2,swan,angsa
U+1F989,owl,Burung hantu
U+1F9A4,dodo,dodo
U+1FAB6,feather,Bulu
U+1F9A9,flamingo,flamingo
U+1F99A,peacock,merak
U+1F99C,parrot,kakaktua
U+1F438,frog,katak
U+1F40A,crocodile,Buaya
U+1F422,turtle,penyu
U+1F98E,lizard,kadal
U+1F40D,snake,ular
U+1F432,dragon face,dragon face
U+1F409,dragon,naga
U+1F995,sauropod,sauropod
U+1F996,T Rex,T Rex
U+1F433,spouting whale,semburan ikan paus
U+1F40B,whale,paus
U+1F42C,dolphin,lumba - lumba
U+1F9AD,seal,segel
U+1F41F,fish,ikan
U+1F420,tropical fish,ikan tropis
U+1F421,blowfish,ikan buntal
U+1F988,shark,hiu
U+1F419,octopus,gurita
U+1F41A,spiral shell,shell spiral
U+1F40C,snail,siput
U+1F98B,butterfly,kupu-kupu
U+1F41B,bug,bug
U+1F41C,ant,semut
U+1F41D,honeybee,lebah madu
U+1FAB2,beetle,kumbang
U+1F41E,lady beetle,kumbang wanita
U+1F997,cricket,Kriket
U+1FAB3,cockroach,kecoa
U+1F577,spider,laba-laba
U+1F578,spider web,jaring laba-laba
U+1F982,scorpion,Kalajengking
U+1F99F,mosquito,Nyamuk
U+1FAB0,fly,terbang
U+1FAB1,worm,cacing
U+1F9A0,microbe,mikroba
U+1F490,bouquet,karangan bunga
U+1F338,cherry blossom,cherry blossom
U+1F4AE,white flower,bunga putih
U+1F3F5,rosette,rosette
U+1F339,rose,mawar
U+1F940,wilted flower,bunga layu
U+1F33A,hibiscus,Musibah
U+1F33B,sunflower,Bunga matahari
U+1F33C,blossom,mekar
U+1F337,tulip,tulip
U+1F331,seedling,mengais-ngais
U+1FAB4,potted plant,pot tanaman
U+1F332,evergreen tree,pohon evergreen
U+1F333,deciduous tree,pohon desidu
U+1F334,palm tree,pohon palem
U+1F335,cactus,kaktus
U+1F33F,herb,herba
U+2618,shamrock,shamrock
U+1F340,four leaf clover,empat daun semanggi
U+1F341,maple leaf,Daun maple
U+1F342,fallen leaf,daun gugur
U+1F343,leaf fluttering in wind,daun berkibar dalam angin
U+1F347,grapes,anggur
U+1F348,melon,melon
U+1F349,watermelon,semangka
U+1F34A,tangerine,jeruk
U+1F34B,lemon,lemon
U+1F34C,banana,pisang
U+1F34D,pineapple,nanas
U+1F96D,mango,mangga
U+1F34E,red apple,apel merah
U+1F34F,green apple,apel hijau
U+1F350,pear,pir
U+1F351,peach,persik
U+1F352,cherries,ceri
U+1F353,strawberry,stroberi
U+1FAD0,blueberries,blueberry
U+1F95D,kiwi fruit,Buah kiwi
U+1F345,tomato,Tomat
U+1FAD2,olive,zaitun
U+1F965,coconut,kelapa
U+1F951,avocado,alpukat
U+1F346,eggplant,terong
U+1F954,potato,kentang
U+1F955,carrot,wortel
U+1F33D,ear of corn,Telinga jagung
U+1F336,hot pepper,lada panas
U+1FAD1,bell pepper,Bell pepper
U+1F952,cucumber,mentimun
U+1F96C,leafy green,hijau berdaun
U+1F966,broccoli,brokoli
U+1F9C4,garlic,Bawang putih
U+1F9C5,onion,Bawang
U+1F344,mushroom,jamur
U+1F95C,peanuts,kacang
U+1F330,chestnut,kastanye
U+1F35E,bread,roti
U+1F950,croissant,croissant
U+1F956,baguette bread,roti baguette
U+1FAD3,flatbread,roti pipih
U+1F968,pretzel,pretzel
U+1F96F,bagel,bagel
U+1F95E,pancakes,pancake
U+1F9C7,waffle,Wafel
U+1F9C0,cheese wedge,irisan keju
U+1F356,meat on bone,daging di tulang
U+1F357,poultry leg,kaki unggas
U+1F969,cut of meat,potongan daging
U+1F953,bacon,bacon
U+1F354,hamburger,hamburger
U+1F35F,french fries,Kentang goreng
U+1F355,pizza,pizza
U+1F32D,hot dog,hot dog
U+1F96A,sandwich,sandwich
U+1F32E,taco,Taco
U+1F32F,burrito,burrito
U+1FAD4,tamale,tamale
U+1F959,stuffed flatbread,isi roti pipih
U+1F9C6,falafel,falafel
U+1F95A,egg,telur
U+1F958,shallow pan of food,Panci makanan dangkal
U+1F372,pot of food,pot makanan
U+1FAD5,fondue,fondue
U+1F963,bowl with spoon,mangkuk dengan sendok
U+1F957,green salad,salad hijau
U+1F37F,popcorn,Popcorn
U+1F9C8,butter,mentega
U+1F9C2,salt,garam
U+1F96B,canned food,makanan kalengan
U+1F371,bento box,kotak bento
U+1F358,rice cracker,nasi kerupuk
U+1F359,rice ball,bola nasi
U+1F35A,cooked rice,nasi masak
U+1F35B,curry rice,nasi kari
U+1F35C,steaming bowl,Mangkuk kukus
U+1F35D,spaghetti,spaghetti
U+1F360,roasted sweet potato,Kentang manis panggang
U+1F362,oden,Oden
U+1F363,sushi,sushi
U+1F364,fried shrimp,udang goreng
U+1F365,fish cake with swirl,kue ikan dengan pusaran
U+1F96E,moon cake,kue bulan
U+1F361,dango,dango
U+1F95F,dumpling,pangsit
U+1F960,fortune cookie,kue keberuntungan
U+1F961,takeout box,kotak takeout
U+1F980,crab,kepiting
U+1F99E,lobster,lobster
U+1F990,shrimp,udang
U+1F991,squid,cumi-cumi
U+1F9AA,oyster,tiram
U+1F366,soft ice cream,es krim lembut
U+1F367,shaved ice,es cukur
U+1F368,ice cream,es krim
U+1F369,doughnut,Donat
U+1F36A,cookie,cookie
U+1F382,birthday cake,kue ulang tahun
U+1F370,shortcake,shortcake
U+1F9C1,cupcake,cupcake
U+1F967,pie,pie
U+1F36B,chocolate bar,coklat
U+1F36C,candy,permen
U+1F36D,lollipop,lolipop
U+1F36E,custard,custard
U+1F36F,honey pot,honey pot
U+1F95B,glass of milk,segelas susu
U+2615,hot beverage,minuman panas
U+1FAD6,teapot,teko
U+1F375,teacup without handle,cangkir teh tanpa penanganan
U+1F376,sake,sake
U+1F37E,bottle with popping cork,botol dengan gabus popping
U+1F377,wine glass,gelas anggur
U+1F378,cocktail glass,gelas koktail
U+1F379,tropical drink,minuman tropis
U+1F37A,beer mug,gelas bir
U+1F37B,clinking beer mugs,mendentingkan cangkir bir
U+1F942,clinking glasses,dentingan gelas
U+1F943,tumbler glass,gelas tumbler
U+1F964,cup with straw,cangkir dengan jerami
U+1F9CB,bubble tea,teh gelembung
U+1F9C3,beverage box,kotak minuman
U+1F9C9,mate,mate
U+1F9CA,ice,es
U+1F962,chopsticks,sumpit
U+1F37D,fork and knife with plate,garpu dan pisau dengan piring
U+1F374,fork and knife,garpu dan pisau
U+1F944,spoon,sendok
U+1F52A,kitchen knife,pisau dapur
U+1F3FA,amphora,Amphorae
U+1F30D,globe showing Europe Africa,globe showing Europe Africa
U+1F30E,globe showing Americas,globe showing Americas
U+1F30F,globe showing Asia Australia,globe memperlihatkan Asia Australia
U+1F310,globe with meridians,globe with meridians
U+1F5FA,world map,peta dunia
U+1F5FE,map of Japan,peta Jepang
U+1F9ED,compass,kompas
U+1F3D4,snow capped mountain,gunung salju tertutupweather forecast
U+26F0,mountain,gunung
U+1F30B,volcano,gunung berapi
U+1F5FB,mount fuji,mount fuji
U+1F3D5,camping,berkemah
U+1F3D6,beach with umbrella,pantai dengan payung
U+1F3DC,desert,gurun
U+1F3DD,desert island,pulau gurun
U+1F3DE,national park,taman nasional
U+1F3DF,stadium,Stadion
U+1F3DB,classical building,bangunan klasik
U+1F3D7,building construction,konstruksi
U+1F9F1,brick,bata
U+1FAA8,rock,rock
U+1FAB5,wood,kayu
U+1F6D6,hut,hut
U+1F3D8,houses,rumah
U+1F3DA,derelict house,rumah derelict
U+1F3E0,house,rumah
U+1F3E1,house with garden,rumah dengan taman
U+1F3E2,office building,gedung perkantoran
U+1F3E3,Japanese post office,Kantor Pos Jepang
U+1F3E4,post office,kantor pos
U+1F3E5,hospital,rumah sakit
U+1F3E6,bank,bank
U+1F3E8,hotel,hotel
U+1F3E9,love hotel,Hotel cinta
U+1F3EA,convenience store,toserba
U+1F3EC,department store,department store
U+1F3EF,Japanese castle,Kastil Jepang
U+1F3F0,castle,Kastil
U+1F492,wedding,pernikahan
U+1F5FC,Tokyo tower,Tokyo tower
U+1F5FD,Statue of Liberty,Patung Liberty
U+26EA,church,gereja
U+1F54C,mosque,masjid
U+1F6D5,hindu temple,Kuil hindu
U+1F54D,synagogue,sinagoga
U+26E9,shinto shrine,kuil shinto
U+1F54B,kaaba,"KaabaCity in Texas, United States"
U+26F2,fountain,air mancur
U+26FA,tent,tenda
U+1F301,foggy,berkabutweather forecast
U+1F303,night with stars,malam dengan bintang-bintang
U+1F3D9,cityscape,cityscape
U+1F304,sunrise over mountains,matahari terbit di atas pegunungan
U+1F305,sunrise,matahari terbit
U+1F306,cityscape at dusk,Cityscape at dusk
U+1F307,sunset,matahari terbenam
U+1F309,bridge at night,jembatan di malam hari
U+2668,hot springs,sumber air panas
U+1F3A0,carousel horse,Kuda korsel
U+1F3A1,ferris wheel,Roda feri
U+1F3A2,roller coaster,roller coaster
U+1F488,barber pole,Tukang cukur tiang
U+1F3AA,circus tent,tenda sirkus
U+1F682,locomotive,lokomotif
U+1F683,railway car,gerbong kereta api
U+1F684,high speed train,Kereta kecepatan tinggi
U+1F685,bullet train,kereta peluru
U+1F686,train,kereta
U+1F687,metro,metro
U+1F688,light rail,rel lampu
U+1F689,station,stasiun
U+1F68A,tram,trem
U+1F69D,monorail,monorail
U+1F69E,mountain railway,kereta api gunung
U+1F68B,tram car,trem mobil
U+1F68C,bus,bus
U+1F68D,oncoming bus,bus datang
U+1F68E,trolleybus,trolleybus
U+1F690,minibus,minibus
U+1F691,ambulance,ambulans
U+1F693,police car,mobil polisi
U+1F694,oncoming police car,mobil polisi datang
U+1F695,taxi,taksi
U+1F696,oncoming taxi,oncoming taxi
U+1F697,automobile,mobil
U+1F698,oncoming automobile,oncoming automobile
U+1F699,sport utility vehicle,kendaraan utilitas olahraga
U+1F6FB,pickup truck,truk pickup
U+1F69A,delivery truck,truk pengantar
U+1F69B,articulated lorry,lorry yang diartikulasikan
U+1F69C,tractor,traktor
U+1F3CE,racing car,Mobil balap
U+1F3CD,motorcycle,sepeda motor
U+1F6F5,motor scooter,skuter
U+1F6FA,auto rickshaw,becak otomatis
U+1F6B2,bicycle,sepeda
U+1F6F4,kick scooter,kick scooter
U+1F6F9,skateboard,skateboard
U+1F6FC,roller skate,roller skate
U+1F68F,bus stop,halte bus
U+1F6E3,motorway,jalan raya
U+1F6E4,railway track,rel kereta api
U+1F6E2,oil drum,drum minyak
U+26FD,fuel pump,pompa bahan bakar
U+1F6A8,police car light,lampu mobil polisi
U+1F6A5,horizontal traffic light,lampu lalu lintas horisontal
U+1F6A6,vertical traffic light,lampu lalu lintas vertikal
U+1F6D1,stop sign,tanda berhenti
U+1F6A7,construction,konstruksi
U+2693,anchor,jangkar
U+26F5,sailboat,perahu layar
U+1F6F6,canoe,kano
U+1F6A4,speedboat,speedboat
U+1F6F3,passenger ship,kapal penumpang
U+26F4,ferry,feri
U+1F6E5,motor boat,perahu bermotor
U+1F6A2,ship,kapal
U+1F6E9,small airplane,pesawat kecil
U+1F6EB,airplane departure,Pesawat berangkat
U+1F6EC,airplane arrival,Kedatangan pesawat
U+1FA82,parachute,parasut
U+1F4BA,seat,kursi
U+1F681,helicopter,helikopter
U+1F69F,suspension railway,Suspend kereta api
U+1F6A0,mountain cableway,jalur kabel gunung
U+1F6A1,aerial tramway,tramway udara
U+1F6F0,satellite,satelit
U+1F6F8,flying saucer,Piring terbang
U+1F6CE,bellhop bell,bellhop bell
